T_sample,T_A,DT_sample
K,K,K
50.43940004,9.9286,0.143950258
51.28948535,10.9263,0.137663962
51.35081904,12.0424,0.132499486
51.3931937,13.0555,0.130018608
51.66848848,14.0171,0.137463391
52.1649781,15.0479,0.19919512
52.25665131,16.035,0.181902029
52.77386235,17.0239,0.143747453
52.97081119,18.0148,0.164283941
53.40468375,19.0093,0.147983319
53.9253475,20.0107,0.148143898
54.24423607,21.0116,0.152847794
54.89994453,22.0139,0.141295109
55.25257352,23.0142,0.178343474
55.95370691,24.0143,0.140554297
56.48058368,25.0148,0.120860667
57.14409498,26.0167,0.185759322
57.50767762,27.0156,0.14588944
58.3175371,28.0161,0.184313208
58.71702508,29.0195,0.128545792
59.55421476,30.0203,0.124768906
60.31471308,31.0235,0.178171214
60.73479594,32.0245,0.138647726
61.63481179,33.0252,0.154183015
62.25366671,34.0286,0.2121006
62.98206728,35.0327,0.181324493
63.82336624,36.0369,0.145679282
64.45176371,37.0401,0.132560849
65.16169033,38.0431,0.074794088
65.86174563,39.0518,0.164852645
66.61505899,40.0583,0.148099986
67.49677837,41.0616,0.131254415
68.1948116,42.0678,0.146531605
69.05261147,43.0762,0.177115447
69.74502759,44.081,0.121382713
70.65314078,45.0879,0.1532603
71.47279945,46.0954,0.207740328
72.23390767,47.0988,0.139277108
73.00650075,48.1055,0.212417095
73.76461318,49.1155,0.191603937
74.67015498,50.113,0.163618529
75.59765548,51.124,0.152971265
76.52304818,52.1298,0.17614571
77.24423125,53.1347,0.233670686
78.05640146,54.1353,0.233099164
78.86507312,55.1433,0.170339454
79.82709929,56.15,0.154069072
80.70557834,57.1529,0.132002808
81.60047346,58.1552,0.146683951
82.43011569,59.158,0.175557238
83.18294186,60.1666,0.2300446
84.18415522,61.1671,0.277323114
85.20309433,62.1688,0.257315487
85.92268916,63.177,0.186701257
86.8219521,64.1767,0.156052029
87.69279614,65.1825,0.152077284
88.57590907,66.1839,0.148314207
89.49207366,67.1904,0.168034226
90.36462616,68.188,0.164993516
91.37882727,69.1936,0.246413199
92.20584575,70.1945,0.230679836
93.09478809,71.1967,0.2289331
94.01434986,72.1956,0.205507226
95.13275378,73.1997,0.264197342
96.11172048,74.2001,0.254909884
96.93129938,75.2065,0.254556864
97.85423827,76.206,0.232230877
98.6315769,77.2032,0.21537408
99.66526033,78.2091,0.19162957
100.5344396,79.2098,0.171982901
101.1597491,80.2136,0.154598251
102.3170955,81.2119,0.315704895
103.1206384,82.2147,0.238069604
104.1697434,83.225,0.23283945
105.1561201,84.2212,0.273208179
106.0337113,85.2195,0.185866681
106.932726,86.2155,0.269101373
107.9086614,87.2261,0.207566329
108.9525051,88.229,0.237786795
109.761464,89.2244,0.220828951
110.7811819,90.2245,0.269530448
111.6853888,91.2354,0.235063546
112.5757366,92.2301,0.247200303
113.516727,93.2371,0.264626268
114.4970286,94.2268,0.32447842
115.6987926,95.229,0.411540113
116.9621222,96.236,0.436318762
117.9486926,97.228,0.257946114
118.8785283,98.2295,0.315154207
119.8232485,99.2375,0.295532456
120.8352712,100.234,0.272840839
122.0702072,101.233,0.505689876
123.0087705,102.23,0.367662771
124.0618783,103.232,0.368135255
124.7093497,104.241,0.210324859
125.6995302,105.242,0.370833601
126.6529793,106.233,0.253973191
127.5021848,107.238,0.507348674
128.5888017,108.243,0.18615734
129.1732288,109.241,0.21512529
129.9059983,110.237,0.242084012
130.7480815,111.242,0.244133561
131.7133235,112.238,0.258256655
132.7963743,113.242,0.274564773
133.5181597,114.24,0.318502747
134.3284369,115.241,0.35249646
135.3735512,116.246,0.345192276
136.2302068,117.246,0.447699443
137.15291,118.243,0.307796488
138.1750835,119.242,0.428534616
139.1595503,120.246,0.411495776
139.9638655,121.249,0.256572379
140.8356034,122.228,0.322605735
141.7701854,123.257,0.273049702
142.6455178,124.239,0.254732339
143.6276113,125.239,0.312618
144.849307,126.226,0.33364476
145.6417818,127.243,0.291521093
146.5026025,128.249,0.333057951
147.3771833,129.201,0.330516934
148.1382949,130.248,0.353362353
149.1116463,131.264,0.370185129
149.7971585,132.23,0.323480646
150.7992606,133.316,0.343510154
151.9004105,134.28,0.375019286
152.5968193,135.149,0.310465613
153.4704016,136.232,0.405265221
154.2401354,137.261,0.417303914
155.2947281,138.257,0.375333364
156.34015,139.255,0.524856943
157.3043773,140.258,0.39711656
158.1360029,141.246,0.422544462
159.0278802,142.271,0.422162123
159.8183829,143.263,0.352962884
160.7600369,144.235,0.314426121
161.6275566,145.261,0.326205475
162.484916,146.242,0.413130155
163.2864653,147.283,0.246710385
164.1316172,148.267,0.324825917
165.1298335,149.231,0.297298443
165.7506414,150.25,0.343206682
166.6849672,151.256,0.494264649
167.9373058,152.254,0.390935853
168.788702,153.266,0.467895287
169.5190783,154.245,0.375445689
170.4175484,155.273,0.301114123
171.3266687,156.262,0.39190995
172.3347062,157.255,0.380249396
173.119152,158.243,0.332154866
174.1073555,159.259,0.338027016
175.014216,160.255,0.386354764
175.8784955,161.266,0.378957679
176.7237407,162.249,0.503531107
177.7928796,163.252,0.450239146
178.6094968,164.264,0.450373406
179.6212139,165.249,0.480875751
180.6296298,166.256,0.500706314
181.3722198,167.26,0.38376297
182.3883976,168.258,0.376373129
183.2412818,169.247,0.36838803
184.2241894,170.255,0.381714705
185.1972896,171.262,0.39551732
186.0689191,172.264,0.450680507
187.0384944,173.262,0.44873181
187.9736875,174.251,0.353720771
188.6897516,175.259,0.387028535
189.7499446,176.253,0.498530769
190.4004076,177.256,0.348183918
191.3199785,178.249,0.350629872
192.2405216,179.263,0.33012192
193.141638,180.241,0.36961078
193.7997197,180.716,0.502935942
194.6313601,181.713,0.447572123
195.5240864,182.716,0.427103574
196.4589306,183.711,0.514056242
197.5805591,184.712,0.630358088
198.4189006,185.717,0.51797675
199.415165,186.719,0.419860717
200.3988018,187.716,0.50579286
201.2686134,188.714,0.49930765
202.1832898,189.71,0.453504256
203.0872421,190.711,0.453114946
204.078542,191.714,0.541788158
205.0116695,192.714,0.467657614
205.9359562,193.718,0.535728145
206.7971768,194.71,0.702196864
207.8676026,195.714,0.690047008
208.7733258,196.715,0.653580914
209.8390448,197.714,0.578262606
210.5902295,198.719,0.651503198
211.8018932,199.714,0.692116157
212.5090485,200.72,0.602484837
213.5117873,201.715,0.67202458
214.5162399,202.713,0.355053794
215.3294025,203.717,0.467989227
216.0867377,204.71,0.594323805
217.177822,205.716,0.385507261
218.3074613,206.72,0.567508378
219.044515,207.717,0.601769363
220.0994461,208.712,0.583946956
220.796901,209.713,0.627634932
221.7828022,210.714,0.75718278
222.9909663,211.719,0.487027787
223.7208089,212.713,0.572841514
224.4961755,213.717,0.519996845
225.7201028,214.713,0.872809743
226.5356977,215.717,0.585944382
227.5641702,216.718,0.643589515
228.3907998,217.722,0.542848061
229.2770228,218.717,0.487635247
229.9813306,219.718,0.469603474
230.7726432,220.721,1.042907659
232.0664966,221.716,0.453852477
232.8924654,222.711,0.737601483
234.088766,223.715,0.619070973
234.946039,224.712,0.640331935
235.8628091,225.72,0.549881817
236.5552472,226.722,0.547421095
237.5648278,227.718,0.803961993
238.3544487,228.722,0.305036021
239.1016445,229.717,0.72215109
240.1770258,230.72,0.405603048
241.1532923,231.719,0.413734075
242.0588093,232.721,0.64317735
242.7097287,233.721,0.892328662
243.6550714,234.721,0.980572632
245.0359816,235.719,0.492684954
245.4754232,236.723,0.63284415
246.5874852,237.718,0.785854435
247.6847303,238.716,0.66908405
248.4748185,239.725,0.726917394
249.656037,240.718,0.988606812
250.4883222,241.721,0.639032794
251.0621437,242.724,0.643035639
252.1591164,243.722,0.651282478
252.9748608,244.723,0.451943044
253.8585443,245.716,1.190319718
255.0408916,246.712,0.559641834
255.5392986,247.722,0.583142875
256.4901023,248.722,0.536549033
257.5692505,249.72,0.551598301
258.1462145,250.721,0.393230272
258.8587996,251.715,0.864602612
260.2122653,252.72,0.670671446
260.8661208,253.72,0.876115215
262.0818278,254.729,0.701435488
263.1307839,255.723,0.464536044
263.607986,256.721,0.542117014
264.6359304,257.716,1.029036852
265.6069115,258.719,0.799977112
266.5542597,259.731,0.848580694
267.4272616,260.725,0.694414911
268.4516715,261.72,0.707632597
269.2487418,262.721,0.684582742
270.0477484,263.723,0.664278912
270.8735209,264.721,0.643608464
271.5538962,265.728,0.626839071
272.3353895,266.728,0.607896007
272.9668011,267.73,0.592860964
273.721099,268.706,0.575244631
274.8473179,269.993,0.549715294
295.962,295.962,0
350.000,350.000,0
